,datetime,SPY,QQQ,IWM,VTI,EFA,EEM,IJH,GLD,IYR,TAN,LIT,FXI,ARKK,VGT,XLF,XLV,XLY,XLI,GOVT,LQD,HYG,XLK,XLE
271,2006-01-31,91.80065635803575,36.6870949973319,57.42178973475431,,38.497806549072266,23.885826494192553,60.628320071587,56.56999969482422,35.69259703784858,,,16.56562326730586,,43.70984267169149,18.298822367107384,23.487987059818344,26.467722098783785,,,54.41715441447493,,17.156652815608606,35.27186911168958
272,2006-02-01,91.4429659731005,36.312993433531645,57.508929596631695,,38.51005305375544,24.028704309083274,60.971824874345025,56.790000915527344,35.953144227859866,,,16.47365511835889,,43.25227291409465,18.190479988654587,23.99327017831005,26.40402720598951,,,54.396905476060006,,16.920338201258318,35.11306061493955
273,2006-02-02,91.64327831578996,36.54789931270469,57.833719942304825,,38.442692422472966,23.826281154823494,61.12796536371114,57.040000915527344,36.031290501737985,,,16.324210848859515,,43.59762003229655,18.19618520720411,24.104723720669732,26.491592253254186,,,54.26473007626167,,17.077895730863794,34.196906017424276
274,2006-02-03,90.55587021293135,35.77360234893914,56.89098053106576,,37.92824290593968,22.980872723622333,60.308257000734116,57.06999969482422,35.484165417568875,,,15.818391279279776,,42.7429193415897,18.13346068793607,23.79263607562426,26.36423667302633,,,54.2190333608104,,16.802185893121614,34.05032611101501
275,2006-02-06,90.45569047211241,35.42560406409185,56.962299867960766,,38.1916073566458,23.42858334566729,60.53466419650823,56.7599983215332,35.32785935638435,,,16.301218886123912,,42.60479372228746,17.990903059616773,23.696044555574108,26.364228560784507,,,54.30542351097518,,16.75491947399671,34.05641903928691
276,2006-02-07,90.41278799234907,35.44301132483575,57.25540043754511,,37.9833608187543,23.338088737953633,60.63614538805643,55.880001068115234,35.48418249650631,,,16.43916783591903,,42.475301833462765,18.030811240873312,23.592018098311385,26.300552663223698,,,54.320680454925736,,16.66039076997811,34.0197872827391
277,2006-02-08,90.03362358712663,35.59960971626827,56.59787313936219,,37.66489363932983,22.74749104979712,60.035025366521374,54.70000076293945,35.28095457984028,,,15.988529469208983,,42.81200022363958,17.91677259694417,23.502849837424712,26.17318166930954,,,54.320680454925736,,16.739169496003676,33.03644319121642
278,2006-02-09,90.79908677917184,35.85190241139671,56.867237903434635,,38.04461155543805,23.21901460410044,60.21458415829099,55.720001220703125,35.2497174461184,,,16.140274867612582,,43.16596227809419,18.05931818708728,23.837227288066146,26.396068084630304,,,54.28506490291329,,17.030626076902227,33.286858834424415
279,2006-02-10,90.44852070979096,35.39082109784244,56.39189147949219,,38.081356543409335,23.361901585913255,59.761768257319545,55.7400016784668,35.30179448493476,,,16.11728258823458,,42.863797843534655,18.076442428393392,23.718337348784296,26.364234309845504,,,54.42230805937116,,16.912463803854767,32.309629056339524
280,2006-02-13,90.57015768620907,35.40821240929763,56.28097686056121,,37.54240781941282,22.885620519996877,59.66026937493958,54.63999938964844,35.29138394220222,,,16.117286892549874,,42.82061817805121,18.161968631088982,23.79264007727306,26.475671743070965,,,54.361292684112186,,16.936104756495016,32.15694004318107
281,2006-02-14,90.46999615591125,35.2951266799751,56.090824745526525,,37.54241590497522,22.72605686950134,59.48852498425904,53.939998626708984,35.353914815559804,,,16.335707697326878,,42.56163506729599,18.161968451093685,24.26819746407943,26.435870132697687,,,54.29016359309156,,16.928215634143637,31.45456890346479
282,2006-02-15,91.34278266690738,35.48651110752699,56.653299500147014,,37.79351299619875,23.028508458870625,59.91788668898945,54.29999923706055,35.6300791274743,,,16.554129156918624,,42.984672654326474,18.372952792507835,24.008122017346725,26.68264598771768,,,54.356234589253006,,17.117273813043667,31.790485253739167
283,2006-02-16,91.81497463015079,35.93890477142397,57.334662365573095,,37.713899195349796,23.192823932461906,60.33944013242245,53.41999816894531,35.953140540303544,,,16.31961002834001,,43.44221658779868,18.4527958568313,24.156733863415873,26.80999762835861,,,54.325715672079546,,17.306321037237673,31.735514391626733
284,2006-02-17,92.32290025272657,36.06940484755759,57.69908827619439,,37.75676763025807,23.554803289167623,60.7220175770295,54.66999816894531,36.22928889853449,,,16.485153355644,,43.44222044548414,18.561133204851803,24.171609891238578,26.85775847103739,,,54.56967143695883,,17.329957045083006,32.804365524977236
285,2006-02-21,92.36586475040471,35.85190774569719,57.63567715700477,,38.06298557859325,23.754839322720137,60.67516668482562,55.13999938964844,36.44814577529076,,,16.784047662284028,,43.14005573785093,18.458491455907694,24.327636695631384,26.841837908220704,,,54.630653059788145,,17.22755858657624,32.92039106433457
286,2006-02-22,92.12258361549127,35.47781444774308,57.41386295258235,,38.03234594415158,23.50717460460389,60.56586400557072,54.970001220703125,36.474195461338525,,,17.002472099405615,,42.811989563359674,18.640966887295477,24.127021692964217,26.65079507305558,,,54.671297756997106,,17.06213369378784,32.7371702571816
287,2006-02-23,92.48031943643545,35.83450602797277,57.635700456977375,,38.41819174883939,23.592907337810008,60.74540375236135,55.08000183105469,36.96398906875402,,,17.11973084098798,,43.09689515766449,18.789229110527664,24.312779162248834,26.69856533018578,,,54.69669670476109,,17.109398551094266,32.315740224129684
288,2006-02-24,92.36584376446244,35.83450642777017,57.58817595428407,,38.39982062110436,23.492880053341914,60.854720429016,55.209999084472656,36.76076652918457,,,16.931196168598813,,42.777466875972685,18.72080067860364,24.268194807608495,26.65079464701281,,,54.7220930486495,,17.09364891052246,32.98147670392238
289,2006-02-27,92.57330802933367,35.98240726475755,58.158564302500075,,38.53455720446719,23.711974620612914,61.276322568957205,55.2599983215332,36.76076334587144,,,17.009370004273208,,43.33861324617648,18.760711274751543,24.297920022001353,26.730400473762444,,,54.72718225603007,,17.077887319605516,32.584490398436294
290,2006-02-28,92.43022533253506,36.199898541207084,58.13479409251086,,38.44881030619355,23.61671531663923,61.0499174404747,55.43000030517578,36.760770224113166,,,16.857618739446075,,43.45948744930088,18.732206030516792,24.37221759152218,26.82592016359399,,,54.625524893329306,,17.243314232180868,32.09586443025698
