,datetime,SPY,QQQ,IWM,VTI,EFA,EEM,IJH,GLD,IYR,TAN,LIT,FXI,ARKK,VGT,XLF,XLV,XLY,XLI,GOVT,LQD,HYG,XLK,XLE,VIT
1052,2009-03-10,54.84493637084961,24.009370803833008,30.080974578857422,,22.38892364501953,16.83913230895996,35.01985549926758,88.13999938964844,15.306793212890625,38.8299674987793,,18.45917320251465,,,4.494314670562744,17.70528793334961,14.118290901184082,12.410768508911133,,55.092437744140625,27.70276641845703,,25.912233352661133,
1053,2009-03-11,55.20212936401367,24.378339767456055,30.122039794921875,,22.514659881591797,16.83913230895996,35.214595794677734,89.22000122070312,15.044520378112793,38.53242492675781,,18.09157371520996,,,4.6130805015563965,17.38507652282715,14.34121322631836,12.530974388122559,,55.11042404174805,28.143844604492188,,25.804340362548828,
1054,2009-03-12,57.37555694580078,25.186553955078125,31.994369506835938,,23.024253845214844,17.486495971679688,36.8373908996582,91.0999984741211,16.230688095092773,40.1689338684082,,18.718656539916992,,,5.088141918182373,18.236371994018555,14.869616508483887,12.936650276184082,,55.06244659423828,28.610645294189453,,26.578594207763672,
1055,2009-03-13,57.82389831542969,25.248046875,32.331092834472656,,23.176467895507812,17.584354400634766,37.032127380371094,91.30000305175781,15.88496208190918,41.06158447265625,,19.057418823242188,,,5.119395732879639,18.845552444458008,15.042999267578125,12.959193229675293,,55.57229995727539,28.674877166748047,,26.33742904663086,
1056,2009-03-16,57.649139404296875,24.826366424560547,31.748037338256836,,23.42795753479004,17.599411010742188,36.48847579956055,90.80000305175781,14.716692924499512,39.72261428833008,,19.525930404663086,,,5.019383430480957,18.642498016357422,14.687983512878418,13.101929664611816,,55.65026092529297,28.83759307861328,,26.673789978027344,
1057,2009-03-17,59.41221237182617,25.766359329223633,33.21799850463867,,24.04343605041504,17.983312606811523,37.90031814575195,90.04000091552734,15.81344223022461,39.201904296875,,19.81423568725586,,,5.344423294067383,18.931468963623047,15.398025512695312,13.48507308959961,,55.500308990478516,28.674877166748047,,27.594018936157227,
1058,2009-03-18,60.742088317871094,26.091411590576172,34.367706298828125,,24.73171043395996,18.359689712524414,39.01191711425781,93.08999633789062,16.63004493713379,39.499446868896484,,19.965604782104492,,,5.881991386413574,18.96270751953125,15.885148048400879,13.740500450134277,,56.68191146850586,29.334354400634766,,27.873258590698242,
1059,2009-03-19,59.98974609375,26.07383918762207,34.00637435913086,,24.718467712402344,18.239246368408203,38.78474044799805,94.3499984741211,15.682304382324219,42.995635986328125,,19.6124210357666,,,5.413182258605957,18.501911163330078,15.711759567260742,13.605271339416504,,56.80190658569336,29.077444076538086,,28.54596710205078,
1060,2009-03-20,58.71233367919922,25.676986694335938,32.83204650878906,,24.374343872070312,17.9908390045166,37.681236267089844,93.58999633789062,14.514028549194336,41.210350036621094,,19.04300308227539,,,5.139175891876221,18.506628036499023,15.397994995117188,13.1903715133667,,56.22605895996094,29.02174949645996,,27.429649353027344,
1061,2009-03-23,62.9295768737793,27.190494537353516,35.624149322509766,,26.128128051757812,19.65443229675293,40.51300811767578,92.08000183105469,16.68964958190918,45.22724914550781,,20.96748924255371,,,5.985184669494629,19.182456970214844,16.485397338867188,14.146079063415527,,56.40000534057617,29.621273040771484,,29.68779945373535,
1062,2009-03-24,61.68966293334961,26.688926696777344,34.240848541259766,,25.307485580444336,19.044696807861328,39.70973587036133,90.94999694824219,15.497526168823242,45.74795150756836,,20.5494327545166,,,5.694763660430908,18.93098258972168,16.269575119018555,14.032310485839844,,55.842193603515625,29.67694854736328,,29.126449584960938,
1063,2009-03-25,62.34023666381836,26.812118530273438,35.20479202270508,,25.697956085205078,19.330745697021484,39.99571228027344,91.9800033569336,15.71268081665039,45.97111511230469,,20.64313316345215,,,5.8841681480407715,19.05672264099121,16.38578987121582,14.146079063415527,,55.57229995727539,29.835411071777344,,28.986120223999023,
1064,2009-03-26,63.61079025268555,27.6392765045166,36.56421661376953,,26.042089462280273,19.8576717376709,41.54372024536133,91.93000030517578,16.102752685546875,54.67438507080078,,21.738719940185547,,,5.953616142272949,19.26889991760254,17.14115333557129,14.904583930969238,,55.860172271728516,30.297897338867188,,29.23490333557129,
1065,2009-03-27,62.46270751953125,27.120100021362305,35.33661651611328,,25.208208084106445,19.27052116394043,40.51714324951172,90.69000244140625,15.456694602966309,54.52561950683594,,21.40715980529785,,,5.770525932312012,19.064577102661133,16.684621810913086,14.623941421508789,,56.03412628173828,29.989551544189453,,28.367359161376953,
1066,2009-03-30,60.3043212890625,26.451337814331055,34.32322311401367,,24.248592376708984,18.27688980102539,39.23799514770508,89.9800033569336,14.6094970703125,50.35994338989258,,20.030475616455078,,,5.2717604637146,18.954566955566406,16.186561584472656,13.895776748657227,,55.99213409423828,28.584943771362305,,27.314830780029297,
1067,2009-03-31,60.86305618286133,26.68012237548828,34.64455032348633,,24.877317428588867,18.675846099853516,39.65350341796875,90.27999877929688,15.51763916015625,51.6245231628418,,20.563846588134766,,,5.562180519104004,19.02528953552246,16.311080932617188,13.979219436645508,,56.4539794921875,29.03460693359375,,27.085174560546875,
1068,2009-04-01,62.041748046875,27.076099395751953,35.24599838256836,,25.5258846282959,19.293106079101562,40.231971740722656,91.02999877929688,15.377460479736328,52.8147087097168,,21.06118392944336,,,5.72001838684082,19.017436981201172,16.609912872314453,14.29019546508789,,56.36894607543945,29.08053970336914,,27.659284591674805,
1069,2009-04-02,63.85569381713867,27.947261810302734,37.00910568237305,,26.677427291870117,20.33943748474121,41.83701705932617,88.80000305175781,16.395305633544922,54.45122528076172,,22.20001983642578,,,5.877853870391846,19.09601593017578,17.52300262451172,15.056285858154297,,56.38702392578125,30.138010025024414,,28.794755935668945,
1070,2009-04-03,64.49095916748047,28.466432571411133,37.594078063964844,,26.829639434814453,20.587848663330078,42.64361572265625,87.58999633789062,17.864181518554688,55.56703567504883,,22.308141708374023,,,6.1177659034729,18.78167152404785,17.755422592163086,15.071459770202637,,56.037208557128906,30.562725067138672,,29.356098175048828,
1071,2009-04-06,63.98579788208008,28.396034240722656,36.951446533203125,,26.273719787597656,20.331911087036133,42.0569953918457,85.2699966430664,17.577722549438477,56.60845184326172,,22.272092819213867,,,5.953616142272949,18.962417602539062,17.506393432617188,15.109380722045898,,56.00709533691406,30.463041305541992,,28.762845993041992,
1072,2009-04-07,62.49332809448242,27.648073196411133,35.64145278930664,,25.72442626953125,19.865201950073242,40.745269775390625,86.73999786376953,16.2551212310791,53.03787612915039,,21.832420349121094,,,5.77683687210083,18.750246047973633,16.991744995117188,14.677035331726074,,55.982975006103516,30.11199188232422,,27.901687622070312,
