datetime,ARKK,BND,EEM,EFA,FXI,GLD,GOVT,HYG,IJH,IWM,IYR,LIT,LQD,QQQ,SCHE,SPY,TAN,VGK,VGT,VTI,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2013-12-27,,62.41323772833114,33.88362382967272,51.36365188883284,30.485443105643824,117.30999755859375,20.936768357454095,57.15434870638379,115.77127778927238,102.10721477177502,46.376217996176,22.837436950820997,84.48275954189181,80.9803592741272,19.075958570534162,155.39624795428412,31.088109932603732,43.07465565410063,81.83093890911714,81.13886367382425,38.25555242925816,61.16284818295351,14.813075497156477,43.86652565439502,31.36040562634567,33.59418450582718,27.735660444852904,47.88712674005946,59.54128574797675
2013-12-30,,62.499164642639656,34.10627340885015,51.348244605674935,30.421316638395833,116.37000274658203,20.928149786872996,57.1482132118422,115.72785270325527,101.78886847250186,46.37623168652173,22.679207603841505,84.57163093487493,80.55631256103514,19.210018308261954,155.20213663620152,31.31176707274323,43.01575869896282,81.14617330124902,81.02866123319603,38.205765368410795,61.329375845160136,14.799493702427041,43.640014529609275,31.22864094246763,33.617720039253776,27.80935221891988,47.706223237939355,59.30022069611729
2013-12-31,,62.51476602280224,34.28769435633527,51.579079544231654,30.52552746804179,114.61000061035156,20.93676883230431,57.19750829428094,116.08399306937072,102.00993347167969,46.43492262946348,22.644048272245048,84.64568598308676,80.7038287732353,19.288873324399848,155.37089694061066,32.17060135443749,43.229274868149304,81.34701002550955,81.13038277640158,38.28045889349686,60.96167231618075,14.799490852068132,43.7239038941828,31.263776304713577,33.758967018250395,27.912540121516795,47.82683181684319,59.577010950249196
2014-01-02,,62.54600230383287,33.80941120681972,50.940488399852775,30.285040053612157,117.93000030517578,20.92814913397259,57.20367222789425,115.92764498315293,101.77122608640296,46.31753907857531,22.6440501243368,84.63822771773093,80.70380455445913,19.16269389739811,155.29498264850181,31.75012778459469,42.603423966256884,81.40181134977202,81.16429126349465,38.12278129817235,61.03797601159818,14.819865037258996,43.606459935130594,31.290128503812504,33.625569014461796,27.9493998847323,47.64592603118173,59.55020514541442
2014-01-03,,62.53040005208758,33.30639944356,50.79429684911667,29.61168324720399,118.63999938964844,20.93676224322641,57.28373942875289,115.37172112755715,101.27597802284771,46.185470555160315,22.397918145503485,84.58641875084368,80.44570038435931,18.878806425735533,154.6618640597852,34.20139427725196,42.4487875845927,81.03661125459836,80.76592255951803,38.09788866453052,60.59397561239206,14.785907380987776,43.34638595581055,31.167152521095527,33.382298930897484,27.6029816402279,47.56838556172999,59.425212664701995
2014-01-06,,62.62406158447265,32.951807594809054,50.81739604148993,29.050550885438597,119.76000213623047,20.96262130103139,57.38233270961199,116.01450331441549,101.88614076616369,46.57432840816811,22.784695097180812,84.97150153958673,79.88343155297397,18.713202793435546,154.88138809661535,35.10496384141216,42.551868218376775,80.68967005390363,80.94387912676142,38.03979752922463,60.48989637833715,14.942123934756385,43.55611786297453,30.90360326159685,33.335225027848665,27.477674826693434,47.749291439021775,59.30022826307499
2014-01-07,,62.67874466688649,32.943572868997165,50.90971197718346,28.778002080363244,118.45999908447266,20.98848880872792,57.431615496641065,115.19799253398642,100.9753454600149,46.87513121392963,22.503399522003157,85.10478940781779,79.93871168580185,18.6658900052595,154.54371649160126,34.908141446264594,42.69177047698056,80.79923517377327,80.6811740360998,37.757657557456305,60.56621883430269,14.962495787808804,43.321222036116545,31.02659408563097,33.29597942259342,27.62509717997721,47.620071661608925,59.389523120095205
2014-01-08,,62.57724830219444,32.96005118935311,51.025120080468454,29.08261489276147,117.98999786376953,20.928142547607422,57.41932975947182,115.70176024400585,101.49705120310442,46.69170826542857,22.485819609740247,84.79375125542772,80.32584688128901,18.673772619548103,154.847600292626,35.543323022965296,42.721229298646485,81.25572476550126,80.89304967810058,37.74105984207392,60.857618899070175,14.914954015264067,43.37156671377385,31.18471403048468,33.29597801606003,27.698804884948135,47.98188626417178,59.18416599614123
2014-01-09,,62.585056367348265,32.69618198179592,50.994340458491344,28.954354078239326,118.11000061035156,20.954010009765625,57.44391025234739,116.35328594196658,101.91266929732141,46.897145649921484,22.60888646967692,84.71972388403115,80.77755586195266,18.587026240322043,155.40473246394797,36.4558405728033,42.75804494217641,81.52962987191268,81.223607513415,37.92362061817298,60.489931473123804,14.982872270345792,43.53934635575811,31.29890650812539,33.139040370556906,27.706167191143678,48.395378962367346,59.21096418037182
2014-01-10,,62.8271104885049,32.81987465385299,51.16360969381928,28.93030475254041,119.72000122070312,21.01433599145157,57.54248376930914,116.22297719992929,101.62087983879294,47.175948270353025,22.468235416729602,85.09745047105875,80.40883226294105,18.594915907948707,155.26962952100862,35.936963951550915,42.93475416237459,81.16444010641237,81.18124106172017,37.83234902733189,60.2817685403198,14.982874089568934,43.572898020777885,31.05294827816548,33.31167381482917,27.949401745114063,48.80886078748076,59.13059162607425
2014-01-13,,62.95983218855474,33.27341543148528,51.17900120476114,28.906261588598717,120.2699966430664,21.066058071931128,57.62874293191613,116.59648501770927,101.95690216468263,47.33002421485127,22.907757070219834,85.3344155533985,80.36273257135507,18.831489389199348,155.03331716752373,36.50057174689482,42.92003612172315,80.917906567437,81.15580460848336,37.73275717748886,60.12221239121148,14.942120984405141,43.45544963664828,31.000244130401175,33.27245000775386,28.148410075710576,48.98115122638608,59.19308027863703
2014-01-14,,63.00671367708534,32.99304141638755,51.10205603864667,28.84213221829811,120.54000091552734,21.066064100608727,57.58560276722651,115.65837954361885,101.19640664088871,46.9925117639315,22.433080212901515,85.31219557010884,79.55155803013092,18.736861545200295,153.86843657727562,35.400184225015266,43.045194761791755,80.39750848361044,80.4607823190648,37.46721418248855,59.32437623822049,14.81986489242167,43.25411274446953,30.815759377231245,33.1704239013199,27.92728553761635,48.559048044227794,58.3270681558381
2014-01-15,,62.85054551076045,33.14147383769672,51.33287046663595,28.970391170216626,119.19000244140625,21.022978225275818,57.72113571886409,116.80497678304523,102.25757754634846,47.27132728193922,22.907756776118877,85.01598577509795,81.14629258459019,18.831491315850034,155.3962256806394,37.1625862121582,43.244009261343855,82.08656350486586,81.31683622688357,37.89871171578435,59.94182447240075,14.928534255014045,43.598060338254044,31.386768476018094,33.295981028847656,27.89781226995336,49.19649048499697,58.62171169786111
